code,code_type,description,code_id
10005,CPT,FNA BX W/US GDN 1ST LES,1
10006,CPT,FNA BX W/US GDN EA ADDL,2
10007,CPT,FNA BX W/FLUOR GDN 1ST LES,3
10009,CPT,FNA BX W/CT GDN 1ST LES,4
10010,CPT,FNA BX W/CT GDN EA ADDL,5
10011,CPT,FNA BX W/MR GDN 1ST LES,6
10021,CPT,FNA BIOPSY W/O IMA GDE 1ST LES,7
10030,CPT,IMG GUID DRN SOFT TIS CTH PERC,8
10060,CPT,ID SIMPLE ABSCESS,9
10061,CPT,ID COMPL ABSCESS,10
10080,CPT,ID PILONIDAL CYST,11
10120,CPT,SUBCUT FB REMOVAL SIMPLE,12
10121,CPT,SUBCUT FB REMOVAL COMPL,13
10140,CPT,I & D HEMATOMA SEROMA OR FLUID,14
10160,CPT,PUNC ASP ABS HEMATOM BULLA CYS,15
10160,CPT,ASPIRATION HEMATOMA,16
10160,CPT,DRAINAGE FLUID COLLECTION,17
10180,CPT,I & D COMPLEX POST-OP INFECT,18
11000,CPT,EXTENS DEBRID ECZE SKIN,19
11010,CPT,DEBRIDE & REM FOREIGN MATTER,20
11042,CPT,DEBRID SKIN AND SQ TISSUE,21
11043,CPT,DEBRIDE SKIN SUBCU TISSU & MUS,22
11044,CPT,DEBRIDE SKIN SUBQ MUS & BONE,23
11045,CPT,DEBRID SQ TIS EA ADD'L 20 CM,24
11046,CPT,DEBRID MUSCLE EA ADD'L 20 CM,25
11047,CPT,DEBRID BONE EA ADD'L 20 CM,26
11055,CPT,PAR/CUT BEN HYPERK/SINGLE LES,27
11055,CPT,PAR/CUT HYPERK LESION SINGLE,28
11056,CPT,PAR/CUT HYPERK LESION 2 TO 4,29
11057,CPT,PAR/CUT HYPERK LESION-OVER 4,30
11104,CPT,PUNCH BX SKIN SINGLE LESION,31
11105,CPT,PUNCH BX SKIN EA SEP/ADDL,32
11200,CPT,REMOVAL OF SKIN TAGS UP TO 15,33
11305,CPT,SHAV EPI/DER LES SCLP <0.5CM,34
11306,CPT,SHAV EPI/DER LES SCL 0.6-1.0CM,35
11402,CPT,EXCISION LES B T A L 1.1-2.0CM,36
11422,CPT,EXCISION LESB S N H 1.1-2.0 CM,37
11424,CPT,EXCISION LESB S N H 3.1-4.0CM,38
11440,CPT,EXC BGN LES FEENL <0.5CM,39
11442,CPT,EXCISION LESB F E EL 1.1-2.0CM,40
11444,CPT,EXC BGN LES FEENL 3.1-4CM,41
11719,CPT,TRIM NONDYSTRPC NAILS ANY NMBR,42
11720,CPT,DEBRIDEMENT NAILS 1 - 5,43
11721,CPT,DEBRIDEMENT NAILS 6 OR MORE,44
11730,CPT,NAIL AVULSION COMP/PART SNGL,45
11740,CPT,ID SUBUNGUAL HEMATOMA,46
11750,CPT,EXCISION NAIL COMP/PART,47
11760,CPT,REPAIR NAIL BED,48
11765,CPT,WEDGE EXCISION SKIN NAIL FOLD,49
12001,CPT,SMPL LAC RPR 0-2.5CM SCALP,50
12002,CPT,SMPL LAC RPR 2.6-7.5CM SCALP,51
12004,CPT,SMPL LAC RPR 7.6-12.5CM SCALP,52
12005,CPT,SMPL LAC RPR 12.6-20CM SCALP,53
12006,CPT,SMPL LAC RPR 20.1-30CM SCALP,54
12007,CPT,SMPL LAC RPR >30CM SCALP,55
12011,CPT,SMPL LAC RPR 0-2.5CM FACE,56
12013,CPT,SMPL LAC RPR 2.6-5CM FACE,57
12014,CPT,SMPL LAC RPR 5.1-7.5CM FACE,58
12015,CPT,SMPL LAC RPR 7.6-12CM FACE,59
12016,CPT,SMPL LAC RPR 12.6-20CM FACE,60
12017,CPT,SMPL LAC RPR 20.1-30CM FACE,61
12020,CPT,WOUND DEHISCENCE SIMPLE,62
12021,CPT,TX SUPERFI WOUND W PACKING,63
12031,CPT,INT LAC RPR 0-2.5CM SCLP TRNK,64
12032,CPT,INT LAC RPR 2.6-7.5CM SCLP TR,65
12034,CPT,INT LAC RPR 7.6-12.5CM SCLP TR,66
12035,CPT,INT LAC RPR 12.6-20CM SCLP TR,67
12036,CPT,INT LAC RPR 20.1-30CM SCLP TR,68
12041,CPT,INT LAC RPR 0-2.5CM NCK HND,69
12042,CPT,INT LAC RPR 2.6-7.5CM NCK HND,70
12044,CPT,INT LAC RPR 7.6-12.5CM NCK HND,71
12045,CPT,INT LAC RPR 12.6-20CM NCK HND,72
12051,CPT,INT LAC RPR 0-2.5CM FACE,73
12052,CPT,INT LAC RPR 2.6-5CM FACE,74
12053,CPT,INT LAC RPR 5.1-7.5CM FACE,75
12054,CPT,INT LAC RPR 7.6-12.5CM FACE,76
12055,CPT,INT LAC RPR 12.6-20CM FACE,77
13100,CPT,COMP LAC RPR 1.1-2.5CM TRNK,78
13101,CPT,COMP LAC RPR 2.6-7.5CM TRNK,79
13120,CPT,COMP LAC RPR 1.1-2.5CM SCALP,80
13121,CPT,COMP LAC RPR 2.6-7.5CM SCALP,81
13122,CPT,COMP LAC RPR EA ADD 5CM SCALP,82
13131,CPT,COMP LAC RPR 1.1-2.5CM FOREHEA,83
13132,CPT,COMP LAC RPR 2.6-7.5CM FOREHEA,84
13133,CPT,COMP LAC RPR EA ADD 5CM FRHEAD,85
13151,CPT,COMP LAC RPR 1.1-2.5CM EYELID,86
13152,CPT,COMP LAC RPR 2.6-7.5CM EYELID,87
13153,CPT,COMP LAC RPR EA ADD 5CM EYELID,88
13160,CPT,SECONDARY CLOSURE SURG WOUND,89
14040,CPT,ADJAC TISS TRFR 10SQ CM OR <,90
15240,CPT,SKIN FULL GRFT INC CLOS <20 CM,91
15271,CPT,HC SKIN SUB GRFT TAL 25SQ CM,92
15275,CPT,HC SKIN SUB GRF FNHFG 25SQ CM,93
15276,CPT,HC SKIN SUB GRF FNHFG EA 25CM,94
15853,CPT,REMOVL SUTR OR STAPL XREQ ANES,95
15854,CPT,REMOVAL SUTR & STAPL XREQ ANES,96
16000,CPT,BURN TRTMT 1ST DEGREE LOCAL,97
16020,CPT,BURN TRTMT 2ND DEGREE SMALL,98
16025,CPT,BURN TRTMT 2ND DEGREE MED,99
16030,CPT,BURN TRTMT 2ND DEGREE LG,100
17250,CPT,CHEM CAUTERY GRANULIN TISSUE,101
17999,CPT,UNLIST SKIN MM PROC,102
19020,CPT,MASTOTOMY W/ABSCESS DRAINAGE,103
19100,CPT,BX BREAST PERC NDL CRE WO/IMAG,104
20100,CPT,EXP PEN WOUND NECK,105
20103,CPT,EXPLOR PENETR WOUND EXTREM,106
20206,CPT,BX MUSCLE PERC NDL,107
20220,CPT,BX BONE SUPERFIC ND/TROCAR,108
20225,CPT,BX BONE DEEP TROCAR/NEEDLE,109
20225,CPT,BX BONE DEEP/NDL FEM VERT BOD,110
20245,CPT,BIOPSY BONE DEEP,111
20501,CPT,INJ SINUS TRACT DIAG SINOGRAM,112
20520,CPT,REM FRN BODY IN MUS/TEND SIMPL,113
20526,CPT,THER INJ CARPAL TUNNEL,114
20550,CPT,INJ(S) TENDON SHEATH/LIGAMENT,115
20551,CPT,INJ(S) TENDON ORIGIN/INSERTION,116
20552,CPT,INJ SNG/MUL TRG PTS 1-2 MUS GR,117
20553,CPT,INJ SNG/MUL TRG PTS 3 OR MORE,118
20553,CPT,INJ TRIGGER POINT =>3 MGRPS,119
20600,CPT,ARTHRO ASP INJ SM JO/BU WO US,120
20600,CPT,ARTH ASP INJ SM JO/BU WO US LT,121
20600,CPT,ARTH ASP INJ SM JO/BU WO US RT,122
20600,CPT,ARTHRO ASP/INJ SMALL JOINT,123
20600,CPT,ARTHRO ASP/INJ SMALL JOINT RT,124
20605,CPT,ARTHRO ASP/INJ INT JT WO/US,125
20605,CPT,ARTHRO ASP/INJ INT JT WO/US LT,126
20605,CPT,ARTHRO ASP/INJ INT JT WO/US RT,127
20605,CPT,ARTHRO ASP/INJ INTERMED JOINT,128
20605,CPT,ARTHROCENTESIS MED JOINT,129
20606,CPT,ARTHRO ASP INJ INTR JO/BU W US,130
20606,CPT,DRAIN/INJ JOINT/BURSA W/US LT,131
20610,CPT,ARTHRO ASP/INJ LG JT WO/US,132
20610,CPT,ARTHRO ASP/INJ LG JT WO/US LT,133
20610,CPT,ARTHRO ASP/INJ LG JT WO/US RT,134
20610,CPT,ARTHRO ASP/INJ MAJOR JOINT,135
20610,CPT,ARTHROCENTESIS LG JOINT,136
20611,CPT,ART ASP INJ MJR JO/BU W US LT,137
20611,CPT,ART ASP INJ MJR JO/BU W US RT,138
20611,CPT,ARTHRO ASP INJ MJR JO/BU W US,139
20650,CPT,INS WIRE/PIN W/TRACTION & REM,140
20950,CPT,MONITORING INTERSTITIAL FL PRS,141
21110,CPT,APPLIC INTERDENTAL DEVICE,142
21315,CPT,CLSD TX NASL FX MNPJ WO STABIL,143
21421,CPT,CL TX PALATAL/MAXILL FX W/FIX,144
21480,CPT,TM DISLOC TRTMT INIT/SUB,145
23350,CPT,INJ PROC SHOULDER ARTHROGR,146
23505,CPT,CLAVICLE FX W REDUCTION,147
23575,CPT,CLO TX SHOULDER BLADE FX,148
23605,CPT,CL TX PROX HUMERUS W MANIP,149
23650,CPT,SHOULDER DISL W/MANIP NO ANES,150
23655,CPT,CL REDUCT SHLDR DISLOC W/ANES,151
23665,CPT,CL TX DIS SHD/GR HU TUB FX/MAN,152
23931,CPT,I&D OF ELBOW/BURSA,153
24220,CPT,INJ PROC ELBOW ARTHROGRAM,154
24341,CPT,RPR TEND/MUSC UPPER ARM/ELB EA,155
24505,CPT,HUMERAL SHAFT FX W REDUCT,156
24535,CPT,CL TRT W/MANIP OF HUMORAL FX,157
24600,CPT,ELBOW DISLOC CLOSED TRTMT,158
24605,CPT,TX CLSD ELBOW DISLOC REQ ANES,159
24620,CPT,CL TX MONTEGGIA FX DISLO ELBOW,160
24640,CPT,RADIAL HEAD DISLOC W REDUC CHI,161
24655,CPT,CLSD REDUCTION RADIUS W/MANIP,162
24675,CPT,CL TX ULNAR FX W/MANIP,163
24999,CPT,UNLISTED PROC HUMERUS/ELBOW,164
25101,CPT,ARTHROTMY WRIST W/EXP W/WO BIO,165
25246,CPT,INJ PROC WRIST ARTHROGRAM,166
25260,CPT,REPAIR TENDON/MUSCLE FOREARM,167
25270,CPT,REPAIR TENDON FOREARM/WRIST,168
25505,CPT,CL REDUX RADIAL SHAFT FX,169
25535,CPT,CL TRT ULNAR SHAFT FX W/MANIP,170
25565,CPT,RADIAL/ULNAR SHAFT FX W REDUCT,171
25575,CPT,OPEN TX FRACTURE RADIUS/ULNA,172
25605,CPT,DISTAL RADIUS/COLLES FX W REDU,173
25650,CPT,ULNAR STYLOID FX CLSD TRTMT,174
25680,CPT,CLO TX WRIST FX W MANIP,175
25690,CPT,CL TX LUNATE DISLOC W/MANIP,176
25999,CPT,UNLISTED PROC FOREARM  WRIST,177
26010,CPT,DRAIN FINGER ABCESS SIMPLE,178
26011,CPT,I&D FINGER ABSCESS COMP,179
26020,CPT,DRAIN TENDN SHEATH DIGT/PLM EA,180
26236,CPT,PART EXCISION DIST PHALAN FNGR,181
26350,CPT,ADVANCE/REPAIR FLEXOR TENDON,182
26410,CPT,EXTENSOR TENDON REPAIR,183
26418,CPT,RPR EXT TENDON FINGER W/O GRFT,184
26605,CPT,METACARPAL FX W REDUCT EA BONE,185
26670,CPT,CL TX CMC DSLC SGL MAN WO ANES,186
26700,CPT,METACARP DISLOC W REDUCT,187
26705,CPT,CL TX KNCKL DISL SGL W/MAN ANE,188
26725,CPT,FINGER FX W REDUCT,189
26735,CPT,FINGER/THUMB FX OPEN TRTMT,190
26742,CPT,CL TX METACARPO JT W/MANIPUL,191
26755,CPT,DISTAL FINGER FX W REDUCT,192
26756,CPT,PERSCUT SKEL FIX DIST PHANG FX,193
26770,CPT,INTERPHAL JT DISLOC W REDUCT,194
26775,CPT,INTERPHAL JT W REDUCT W ANES,195
26785,CPT,OPEN TX INTERPHALAG JT DISLOC,196
26951,CPT,AMPUTATION FINGER,197
26989,CPT,UNLISTED PROC HANDS OR FINGERS,198
27093,CPT,INJ PROC HIP ARTHROGRAM,199
27096,CPT,INJ PRO/SI JNT ARTH ANE STR LT,200
27096,CPT,INJ PRO/SI JNT ARTH ANE STR RT,201
27096,CPT,INJ PRO/SI JNT ARTHR ANES STER,202
27222,CPT,CL TRT ACETABULUM FX W/MANIP,203
27226,CPT,TREAT HIP WALL FRACTURE,204
27232,CPT,CL TRTMNT FEMOR FX PROX W/MANI,205
27240,CPT,CL TX FEM FX W/MAN W/WO TRACT,206
27250,CPT,HIP DISLOC CLSD TRTMT,207
27252,CPT,CL TX HIP DISLOC TRAU REQ ANES,208
27256,CPT,TX SPON HIP DIS W/O AN W/O MAN,209
27257,CPT,TX SPON HIP DIS W MANIP ANES,210
27265,CPT,CL TX POST HIP ARTHRPLASTY DIS,211
27266,CPT,CL TX POST HIP DIS RG GEN ANES,212
27268,CPT,CLO TX  THIGH FX W MANIP,213
27310,CPT,ARTHRT KNEE W/EXPL DRG/RMVL FB,214
27369,CPT,INJ PROC KNEE ARTHROGRAM,215
27502,CPT,CL REDUC FEMOR SHAFT FX W/MANI,216
27503,CPT,CL REDUC SPCDYR FEMUR FX W/MAN,217
27510,CPT,CLOS TRT FEMORAL FX W MANIP,218
27530,CPT,CLOSED TRTMT TIBIAL FX PROX,219
